b'Record: [ 31/07/19  21:46:12 ] - Action: Update - User: Rapolas - Before: https://cdn.discordapp.com/avatars/214423801557942273/9078fbac341549065661759800a84e38.webp?size=1024 - After: https://cdn.discordapp.com/avatars/214423801557942273/24789494ddc9b19d5847a1c029350758.webp?size=1024'
b'Record: [ 31/07/19  21:46:55 ] - Action: Update - User: Rapolas - Before: https://cdn.discordapp.com/avatars/214423801557942273/24789494ddc9b19d5847a1c029350758.webp?size=1024 - After: https://cdn.discordapp.com/avatars/214423801557942273/a_912343973046aaf6e739df58026f6210.gif?size=1024'
b'Record: [ 31/07/19  22:11:12 ] - Action: Update - User: CofiS - Before: https://cdn.discordapp.com/avatars/524627417394839573/33bcd8b29ea613da4633e708b5900db7.webp?size=1024 - After: https://cdn.discordapp.com/avatars/524627417394839573/881df05ac81ef4380f201e7eec14fb6f.webp?size=1024'
b'Record: [ 01/08/19  11:43:34 ] - Action: Update - User: Trojke - Before: https://cdn.discordapp.com/avatars/331563011775004676/8fb879cd4758caafc7e65ec9f9b5e2fb.webp?size=1024 - After: https://cdn.discordapp.com/avatars/331563011775004676/a_fec00975dc59509d2f1da285d534145c.gif?size=1024'
b'Record: [ 01/08/19  12:43:26 ] - Action: Update - User: Maniac - Before: https://cdn.discordapp.com/avatars/271582951152680960/93f705319fcf4adf56379d7f4520a8fb.webp?size=1024 - After: https://cdn.discordapp.com/avatars/271582951152680960/984c5cf33ab3847c2e4e6748fbb40de1.webp?size=1024'
b'Record: [ 01/08/19  14:17:24 ] - Action: Update - User: lov z - Before: https://cdn.discordapp.com/avatars/474928089416204289/e3d7a82ddf8f327607a49560f06e0f6a.webp?size=1024 - After: https://cdn.discordapp.com/avatars/474928089416204289/e250da80ae4e7eb55139d39733df206c.webp?size=1024'
b'Record: [ 01/08/19  16:32:07 ] - Action: Update - User: pusk nigeri - Before: https://cdn.discordapp.com/avatars/305063490601877504/64d09d84b3ef0a6482449349898be2c5.webp?size=1024 - After: https://cdn.discordapp.com/avatars/305063490601877504/55ac2cabe348ba7d5a2d4539659ab0b3.webp?size=1024'
b'Record: [ 01/08/19  16:32:31 ] - Action: Update - User: pusk nigeri - Content: landen'
b'Record: [ 01/08/19  17:28:03 ] - Action: Update - User: Cowsusaurus - Content: Cowalski'
b'Record: [ 01/08/19  20:10:36 ] - Action: Update - User: Deimukas - Before: https://cdn.discordapp.com/avatars/206107916602834945/42165941a7a937ffface4a283f06888d.webp?size=1024 - After: https://cdn.discordapp.com/avatars/206107916602834945/a_c9aaec78a7986a5d07004c7c07020c95.gif?size=1024'
b'Record: [ 01/08/19  21:24:48 ] - Action: Update - User: karolis2091 - Before: https://cdn.discordapp.com/avatars/182115564477480960/fce65324baccf555c96496e30189ba1d.webp?size=1024 - After: https://cdn.discordapp.com/avatars/182115564477480960/3213e34792cce1d379d85ef54a25c1ba.webp?size=1024'
b'Record: [ 02/08/19  10:53:22 ] - Action: Update - User: 66 - Before: https://cdn.discordapp.com/avatars/421454465871249418/8dabb65dd631627685b9316208c427ac.webp?size=1024 - After: https://cdn.discordapp.com/avatars/421454465871249418/f2dbbf297dfecd60c1f216c650c8b23b.webp?size=1024'
